election_code,election_date,territory_code,territory_name,territory_type,organ,state,party,party_full,party_type,votes,votes_pct,mandates,presidents,absolute_majorities,electoral_circles_compete
AUT25,2025-10-12,010304,Avelãs de Caminho,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,19,2.98,NA,NA,NA,NA
AUT25,2025-10-12,010305,Avelãs de Cima,Freguesia,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,692,66.41,NA,NA,NA,NA
AUT25,2025-10-12,010305,Avelãs de Cima,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,175,16.79,NA,NA,NA,NA
AUT25,2025-10-12,010305,Avelãs de Cima,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,119,11.42,NA,NA,NA,NA
AUT25,2025-10-12,010305,Avelãs de Cima,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,8,0.77,NA,NA,NA,NA
AUT25,2025-10-12,010307,Moita,Freguesia,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,826,69.35,NA,NA,NA,NA
AUT25,2025-10-12,010307,Moita,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,214,17.97,NA,NA,NA,NA
AUT25,2025-10-12,010307,Moita,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,82,6.88,NA,NA,NA,NA
AUT25,2025-10-12,010307,Moita,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,20,1.68,NA,NA,NA,NA
AUT25,2025-10-12,010309,Sangalhos,Freguesia,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,1098,60.13,NA,NA,NA,NA
AUT25,2025-10-12,010309,Sangalhos,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,270,14.79,NA,NA,NA,NA
AUT25,2025-10-12,010309,Sangalhos,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,262,14.35,NA,NA,NA,NA
AUT25,2025-10-12,010309,Sangalhos,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,111,6.08,NA,NA,NA,NA
AUT25,2025-10-12,010310,São Lourenço do Bairro,Freguesia,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,656,56.41,NA,NA,NA,NA
AUT25,2025-10-12,010310,São Lourenço do Bairro,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,309,26.57,NA,NA,NA,NA
AUT25,2025-10-12,010310,São Lourenço do Bairro,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,126,10.83,NA,NA,NA,NA
