election_code,election_date,territory_code,territory_name,territory_type,organ,subscribers,votes,voters_pct,abstention_pct,blank_votes,blank_pct,null_votes,null_pct,mandates_assigned,mandates_unassigned,mandates_total,state
AUT25,2025-10-12,011708,Talhadas,Freguesia,AM,1048,808,77.1,22.900000000000006,15,1.86,8,0.99,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011712,Cedrim,Freguesia,AM,680,541,79.56,20.439999999999998,3,0.55,10,1.85,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011713,Dornelas,Freguesia,AM,510,398,78.04,21.959999999999994,3,0.75,7,1.76,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011714,Paradela,Freguesia,AM,565,437,77.35,22.650000000000006,10,2.29,5,1.14,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011715,Silva Escura,Freguesia,AM,1320,882,66.82,33.18000000000001,22,2.49,18,2.04,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011801,Calvão,Freguesia,AM,2040,1307,64.07,35.93000000000001,20,1.53,22,1.68,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011804,Gafanha da Boa Hora,Freguesia,AM,3275,1400,42.75,57.25,35,2.5,24,1.71,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011805,Ouca,Freguesia,AM,1636,985,60.21,39.79,13,1.32,18,1.83,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011807,Sosa,Freguesia,AM,2731,1485,54.38,45.62,36,2.42,25,1.68,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011810,Santo André de Vagos,Freguesia,AM,1991,1093,54.9,45.1,22,2.01,14,1.28,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011815,Covão do Lobo,Freguesia,AM,879,609,69.28,30.72,16,2.63,5,0.82,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011816,Fonte de Angeão,Freguesia,AM,1257,723,57.52,42.48,18,2.49,10,1.38,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011817,Ponte de Vagos,Freguesia,AM,1904,1059,55.62,44.38,15,1.42,15,1.42,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011818,Santa Catarina,Freguesia,AM,915,590,64.48,35.519999999999996,18,3.05,8,1.36,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011819,Santo António,Freguesia,AM,1620,1014,62.59,37.41,28,2.76,13,1.28,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011820,Vagos,Freguesia,AM,4332,2476,57.16,42.84,84,3.39,48,1.94,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011901,Arões,Freguesia,AM,1163,808,69.48,30.519999999999996,7,0.87,8,0.99,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011902,São Pedro de Castelões,Freguesia,AM,6274,4345,69.25,30.75,75,1.73,56,1.29,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011903,Cepelos,Freguesia,AM,1207,854,70.75,29.25,8,0.94,4,0.47,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011905,Junqueira,Freguesia,AM,828,646,78.02,21.980000000000004,16,2.48,9,1.39,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011906,Macieira de Cambra,Freguesia,AM,4028,2707,67.2,32.8,49,1.81,40,1.48,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011907,Roge,Freguesia,AM,1497,1116,74.55,25.450000000000003,12,1.08,17,1.52,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011910,"Vila Chã, Codal e Vila Cova de Perrinho",Freguesia,AM,4717,3239,68.67,31.33,41,1.27,48,1.48,NA,NA,NA,Resultados Apurados
